magfield,angle,sigma,rho
2.0,0,0.2548746367915009,3.923497498960815
2.0,1,0.2548746367915009,3.923497498960815
2.0,2,0.2548746367915009,3.923497498960815
2.0,3,0.2548746367915009,3.923497498960815
2.0,4,0.2548746367915009,3.923497498960815
2.0,5,0.2548746367915009,3.923497498960815
2.0,6,0.2548746367915009,3.923497498960815
2.0,7,0.2548746367915009,3.923497498960815
2.0,8,0.2548746367915009,3.923497498960815
2.0,9,0.2548746367915009,3.923497498960815
2.0,10,0.2548746367915009,3.923497498960815
2.0,11,0.2548746367915009,3.923497498960815
2.0,12,0.2548746367915009,3.923497498960815
2.0,13,0.2548746367915009,3.923497498960815
2.0,14,0.2548746367915009,3.923497498960815
2.0,15,0.2548746367915009,3.923497498960815
2.0,16,0.2548746367915009,3.923497498960815
2.0,17,0.2548746367915009,3.923497498960815
2.0,18,0.2548746367915009,3.923497498960815
2.0,19,0.2548746367915009,3.923497498960815
2.0,20,0.2548746367915009,3.923497498960815
2.0,21,0.24515551342519598,4.079043485616443
2.0,22,0.253350794253899,3.947096368673059
2.0,23,0.19803784082719664,5.049540006208094
2.0,24,0.1936100856012837,5.165020184224171
2.0,25,0.19611366466904878,5.099083746599443
2.0,26,0.19811732468108784,5.047514151575152
2.0,27,0.20236863753069406,4.941477158723895
2.0,28,0.19790149922367323,5.053018819578395
2.0,29,0.1942354777148431,5.148390045757238
2.0,30,0.20004684104870835,4.998829247978554
2.0,31,0.19790149922367323,5.053018819578395
2.0,32,0.20026900865773864,4.993283817113252
2.0,33,0.19611366466904878,5.099083746599443
2.0,34,0.19811732468108784,5.047514151575152
2.0,35,0.19590334568469656,5.1045580487914926
2.0,36,0.20644748827065176,4.843846773708403
2.0,37,0.21686395245588785,4.611185901001271
2.0,38,0.22158615480575417,4.512917338525123
2.0,39,0.25174620388083274,3.972254534862272
2.0,40,0.25464620233277563,3.9270171353004684
2.0,41,0.25464620233277563,3.9270171353004684
2.0,42,0.25464620233277563,3.9270171353004684
2.0,43,0.25464620233277563,3.9270171353004684
2.0,44,0.25464620233277563,3.9270171353004684
2.0,45,0.2545296168299096,3.9288158779111897
2.0,46,0.2545296168299096,3.9288158779111897
2.0,47,0.2545296168299096,3.9288158779111897
2.0,48,0.2545296168299096,3.9288158779111897
2.0,49,0.2545296168299096,3.9288158779111897
2.0,50,0.2545296168299096,3.9288158779111897
2.0,51,0.2545296168299096,3.9288158779111897
2.0,52,0.2545296168299096,3.9288158779111897
2.0,53,0.2545296168299096,3.9288158779111897
2.0,54,0.2545296168299096,3.9288158779111897
2.0,55,0.2545296168299096,3.9288158779111897
2.0,56,0.2545296168299096,3.9288158779111897
2.0,57,0.2545296168299096,3.9288158779111897
2.0,58,0.2545296168299096,3.9288158779111897
2.0,59,0.2545296168299096,3.9288158779111897
