magfield,angle,sigma,rho
0.5,0,0.14779474259983416,6.766140543358692
0.5,1,0.14407812864571412,6.940678709528387
0.5,2,0.15115223905564443,6.615846422439465
0.5,3,0.1421962117259389,7.032536154530928
0.5,4,0.1419496341942132,7.04475221564725
0.5,5,0.1462417371286399,6.837993172362014
0.5,6,0.1433127943001888,6.977744065930075
0.5,7,0.15031823519916698,6.652552823514933
0.5,8,0.14191188932754986,7.046625936265838
0.5,9,0.14911099833936534,6.706413417768659
0.5,10,0.13892319214170276,7.19822215847151
0.5,11,0.13023323479048407,7.678531533128043
0.5,12,0.13885705665783665,7.201650561153265
0.5,13,0.14587977537382554,6.854959828649592
0.5,14,0.13846683568413487,7.221945927046105
0.5,15,0.14005710078837394,7.139945025072299
0.5,16,0.13247313163374635,7.54870053774179
0.5,17,0.14325001151518477,6.980802231167696
0.5,18,0.13529610284041438,7.39119589556492
0.5,19,0.15125508262456852,6.611348079337659
0.5,20,0.13195512758016767,7.5783337740510515
0.5,21,0.1538548991721003,6.499630530981088
0.5,22,0.14464387407836787,6.913531640186858
0.5,23,0.14215023200232593,7.034810889254388
0.5,24,0.14431824132467708,6.929131001189725
0.5,25,0.14009856486692068,7.137831861089354
0.5,26,0.1311193475319149,7.6266395373619185
0.5,27,0.14505480728620188,6.8939459415980595
0.5,28,0.1390957211233702,7.189293760611481
0.5,29,0.13438954198076014,7.44105519864905
0.5,30,0.13129953198577116,7.616173377589567
0.5,31,0.1438823384161606,6.950123350842634
0.5,32,0.13243134632961978,7.551082335982705
0.5,33,0.1343193908713614,7.444941445257943
0.5,34,0.14256906662608776,7.014144257692831
0.5,35,0.13157132604962274,7.600440232872969
0.5,36,0.14365510204964582,6.961117187849058
0.5,37,0.12574234651831526,7.9527703092000355
0.5,38,0.1392367405550422,7.182012420096018
0.5,39,0.13955004711670962,7.165887942435963
0.5,40,0.1419801435257911,7.043238407618225
0.5,41,0.14337292135147725,6.9748177729357295
0.5,42,0.13006976797933217,7.688181623872029
0.5,43,0.13911241653973483,7.188430945805394
0.5,44,0.13600101928895958,7.3528860682677175
0.5,45,0.134165792173633,7.45346473045702
0.5,46,0.14029061930711692,7.1280603431570295
0.5,47,0.1430161503290074,6.992217296434764
0.5,48,0.14670292745430977,6.816496557721708
0.5,49,0.14417242223710022,6.936139273261566
0.5,50,0.13515692292516174,7.398807092950125
0.5,51,0.13404853941145345,7.459984304122582
0.5,52,0.13347250747667114,7.492179617400115
0.5,53,0.14238801489005604,7.023063006898041
0.5,54,0.13150398582167164,7.604332247054991
0.5,55,0.13936829893768035,7.175232873059303
0.5,56,0.13419142567069095,7.452040955686875
0.5,57,0.14434785127473443,6.927709634532208
0.5,58,0.14241271489091456,7.021844929829342
0.5,59,0.1330000651375566,7.51879331010658
