magfield,angle,sigma,rho
0.1,0,0.11407510778768806,8.766154329313974
0.1,1,0.10804759349412822,9.255180681597913
0.1,2,0.1071218569683791,9.335163040491226
0.1,3,0.11332965350668674,8.823815912761063
0.1,4,0.1081185667737316,9.249105216986276
0.1,5,0.1095185082019124,9.130876747849438
0.1,6,0.11793739640455797,8.479074750554291
0.1,7,0.1172292010005015,8.53029783932181
0.1,8,0.10897990861853223,9.176003289747191
0.1,9,0.10275174418028125,9.732194893407042
0.1,10,0.1105153055622833,9.04852042811779
0.1,11,0.10887177821287418,9.185116808184448
0.1,12,0.1025248060406476,9.753737057581302
0.1,13,0.10803936764414081,9.25588534814265
0.1,14,0.10437578022609018,9.58076670501416
0.1,15,0.11429400145235305,8.749365559809196
0.1,16,0.10153388061074478,9.848929184867336
0.1,17,0.11186889830472908,8.93903502362217
0.1,18,0.11151891309788928,8.967088830234726
0.1,19,0.11691762949514091,8.553030063285366
0.1,20,0.10658573431289604,9.38211859632521
0.1,21,0.103949523234938,9.620053742236834
0.1,22,0.11023324534636599,9.071673403589642
0.1,23,0.11133274556847236,8.982083347481765
0.1,24,0.1097826943862319,9.108903781153803
0.1,25,0.10479677960864647,9.542277956769322
0.1,26,0.10553903631837755,9.475167055565294
0.1,27,0.09505801658961538,10.51989128194418
0.1,28,0.11749851105384947,8.510746145044347
0.1,29,0.10324643021441897,9.685564894817489
0.1,30,0.10590242422848596,9.44265447448574
0.1,31,0.10951128933787324,9.131478645226409
0.1,32,0.10115604433471341,9.885716731776482
0.1,33,0.11307418815601232,8.843751313255204
0.1,34,0.11131810397828479,8.98326475444707
0.1,35,0.11632713864594976,8.59644629482011
0.1,36,0.11020680015587406,9.073850239600661
0.1,37,0.11112976836850715,8.9984890158683
0.1,38,0.10874926237792469,9.19546466922053
0.1,39,0.11901324879738358,8.402425865228413
0.1,40,0.09813614730910743,10.18992519494594
0.1,41,0.11062892354658795,9.039227427526049
0.1,42,0.1108580465965947,9.020545018612276
0.1,43,0.1051701860820759,9.508398123585991
0.1,44,0.10970803238129863,9.115102862518068
0.1,45,0.10958540606405526,9.125302683237551
0.1,46,0.10920145796894173,9.157386893904041
0.1,47,0.10767520820359525,9.28718891454728
0.1,48,0.09634020181301131,10.379882761102376
0.1,49,0.1056137971586043,9.468459868915247
0.1,50,0.10778728450112675,9.277532174860074
0.1,51,0.10538693163181055,9.488842539734355
0.1,52,0.11143034314537696,8.974216284117116
0.1,53,0.10854314782755994,9.21292610371571
0.1,54,0.10749827426678535,9.302474917115749
0.1,55,0.11623396561434449,8.603337197647756
0.1,56,0.10811148943781489,9.249710694025673
0.1,57,0.11787511082753423,8.483555120156984
0.1,58,0.10408829294117303,9.607228361071924
0.1,59,0.10436651702340083,9.581617059959779
