kT,magfield,sigma,sigma_err,rho,rho_err
0.5,0.0,0.05840746401791368,0.006017598741206697,17.12109944875022,1.7639510330267913
4.0,0.0,0.0663068733641173,0.014573408203166749,15.081392761631273,3.3146984895607696
0.5,0.2,0.05590179554007662,0.010216606179442124,17.888513067224984,3.2693027366646814
4.0,0.2,0.059153311504903106,0.009885097626952081,16.905224315583954,2.825028532024283
0.5,0.5,0.05047296590448677,0.012812394844107677,19.812586442658514,5.029359298336578
4.0,0.5,0.05452604342319967,0.01059601364022278,18.339859949833098,3.563974093625945
0.5,1.0,0.0707589271562621,0.015776341372963344,14.1324923962121,3.1509667183205607
4.0,1.0,0.059164791596783284,0.013419596807182986,16.901944095656525,3.833652902338448
0.5,2.0,0.07547850458991198,0.013201948872472035,13.248805145692488,2.317349146026326
4.0,2.0,0.0618494492706716,0.010965430429005503,16.168292713872074,2.866513623005388
0.5,3.0,0.06417595128842023,0.015518791184291109,15.58216091734721,3.768020522041972
4.0,3.0,0.055503960382354854,0.010096183712878386,18.016732375693824,3.277247942627824
0.5,4.0,0.05626048565151517,0.010777600779511474,17.77446441173884,3.4049844981065562
4.0,4.0,0.06367440913838844,0.006913561549375732,15.704896418066854,1.7051868950506868
0.5,5.0,0.0743716503683365,0.011085512902864176,13.445983718894947,2.0041995205066954
4.0,5.0,0.06249090713306763,0.013253203170776221,16.002328112642182,3.393807441947753
0.5,6.0,0.15363023813937382,0.004844891060287491,6.509135259510546,0.20527242300044563
4.0,6.0,0.06649091047809791,0.00962235884679428,15.039649672557871,2.1764915691309965
0.5,7.0,0.15496314958634927,0.0022254404780396287,6.453147104129911,0.09267425716765365
4.0,7.0,0.0736532470788159,0.014406783913766031,13.577133930428158,2.6557258839467854
0.5,8.0,0.15478152626423589,0.0,6.460719338642818,0.0
4.0,8.0,0.06738364883035522,0.008826421772360808,14.84039551668678,1.9439076448457655
0.5,9.0,0.15478152626423589,0.0,6.460719338642818,0.0
4.0,9.0,0.08043732317610651,0.011502569677465789,12.43203976107754,1.7777867032166117
