magfield,angle,sigma,rho
1.0,0,0.23190351808565993,4.31213811784702
1.0,1,0.24128567641031035,4.144464830558293
1.0,2,0.23351480631327085,4.2823836988668464
1.0,3,0.24170262230602624,4.137315476593684
1.0,4,0.22554260599980772,4.4337520867381155
1.0,5,0.2143567502054247,4.665120174856491
1.0,6,0.2224656434216902,4.495076114312494
1.0,7,0.1996635730220865,5.0084248461755285
1.0,8,0.20936722946825656,4.776296665623194
1.0,9,0.19978147506486654,5.005469099050913
1.0,10,0.18792474551853328,5.321278989846387
1.0,11,0.18644618696101542,5.363477882275452
1.0,12,0.21201276527400323,4.716697122966203
1.0,13,0.18766105759819934,5.3287560711775255
1.0,14,0.18304832721203462,5.4630381781181026
1.0,15,0.19806456397849592,5.048858715123676
1.0,16,0.1880853028110154,5.316736528875843
1.0,17,0.2033762357403881,4.916995323271252
1.0,18,0.19170450898182095,5.216361395520584
1.0,19,0.18815360981264867,5.314806348896181
1.0,20,0.1991425233944856,5.021529219146626
1.0,21,0.19907566922726558,5.023215563617652
1.0,22,0.18916105596351893,5.286500410490715
1.0,23,0.2012148880985883,4.969811177739665
1.0,24,0.19286303533052743,5.185026764129303
1.0,25,0.21731609975805172,4.601591879816301
1.0,26,0.1984711388907223,5.03851595546392
1.0,27,0.1987707115513615,5.030922273182105
1.0,28,0.1999265381102466,5.0018372220728615
1.0,29,0.19705496710027548,5.074726177752877
1.0,30,0.1956420470408753,5.111375673712262
1.0,31,0.1957891185234329,5.107536146756367
1.0,32,0.19807898160985785,5.048491222403542
1.0,33,0.1865437579624759,5.360672535615769
1.0,34,0.20236863753069406,4.941477158723895
1.0,35,0.1991118599588221,5.022302539923076
1.0,36,0.18304878465298738,5.463024525924816
1.0,37,0.19790149922367323,5.053018819578395
1.0,38,0.19429176493610475,5.146898533393128
1.0,39,0.18222029073576612,5.48786304731606
1.0,40,0.19335769275327716,5.171762166587247
1.0,41,0.1752806589803522,5.705136013392632
1.0,42,0.1890601614122777,5.289321624027024
1.0,43,0.1841864538925585,5.429280920861477
1.0,44,0.19251033363284806,5.194526346347622
1.0,45,0.17949698911950193,5.571124089074496
1.0,46,0.1977548267978351,5.056766584121361
1.0,47,0.18894344839395505,5.292588912185819
1.0,48,0.1927293713043938,5.188622747181671
1.0,49,0.18792980914564753,5.321135611993251
1.0,50,0.1974820975714624,5.063750143924476
1.0,51,0.19486805789729716,5.131677355388012
1.0,52,0.21015002104206298,4.758505352706308
1.0,53,0.21953526619440633,4.555076809912008
1.0,54,0.221004583706848,4.524793030204532
1.0,55,0.22873206290505396,4.3719275177223285
1.0,56,0.23464180971750237,4.26181506699063
1.0,57,0.24442481408607597,4.09123764188624
1.0,58,0.24488573044593204,4.083537240732729
1.0,59,0.24192969650154839,4.133432209689892
