field,angle,mode,sigma,rho,delta_rho_over_rho0
0.1,0,smoothed,0.11165994996262166,8.955762566029732,0.0
0.1,1,smoothed,0.10962593834802384,9.121928761287784,0.01855410904799326
0.1,2,smoothed,0.10909885648092561,9.16599891379096,0.023474980071342966
0.1,3,smoothed,0.10991421328315655,9.098004435730623,0.015882720053391308
0.1,4,smoothed,0.11009621433990871,9.08296444156219,0.014203355057105904
0.1,5,smoothed,0.11163087674687014,8.958095010465263,0.000260440628961911
0.1,6,smoothed,0.11441960565089532,8.739760937920828,-0.024118730986484982
0.1,7,smoothed,0.11389064399388742,8.780352493692726,-0.019586279900089876
0.1,8,smoothed,0.10974687692362148,9.111876602155629,0.01743168546228069
0.1,9,smoothed,0.10713700274507976,9.33384334429614,0.04221648078305629
0.1,10,smoothed,0.10760589991970596,9.293170734561825,0.037674979215273297
0.1,11,smoothed,0.10719494376642778,9.328798214391044,0.041653141830298335
0.1,12,smoothed,0.10582231504969719,9.449802714393192,0.05516449824579017
0.1,13,smoothed,0.10601587082079698,9.432549978204126,0.053238058586200676
0.1,14,smoothed,0.10722182978152903,9.326459005946463,0.04139194593242412
0.1,15,smoothed,0.1079057030755744,9.267350765507041,0.0347919227625797
0.1,16,smoothed,0.10752652966774755,9.300030449136209,0.03844093460140696
0.1,17,smoothed,0.10929919534700168,9.149198187829406,0.021599011851140215
0.1,18,smoothed,0.11183201403493792,8.941983282958542,-0.0015385940582497426
0.1,19,smoothed,0.11176166908083153,8.947611540024074,-0.0009101431559357387
0.1,20,smoothed,0.108657791513357,9.203205642892831,0.027629481581130877
0.1,21,smoothed,0.10705075901964092,9.341363005343354,0.04305612575932405
0.1,22,smoothed,0.10855866848175598,9.211608929857654,0.028567792183144425
0.1,23,smoothed,0.1096596416982857,9.119125181453452,0.01824106146397564
0.1,24,smoothed,0.10841817453919338,9.223545814622604,0.02990066413870829
0.1,25,smoothed,0.10589465948612949,9.443346858591902,0.05444363771005212
0.1,26,smoothed,0.10335146523217167,9.675721556086037,0.08039058480482675
0.1,27,smoothed,0.10332792848368597,9.67792555870203,0.08063668362664611
0.1,28,smoothed,0.10640254223981312,9.398271685522054,0.04941054614051654
0.1,29,smoothed,0.10677200695354051,9.365750710625193,0.04577925571079722
0.1,30,smoothed,0.10619660966015727,9.416496470086265,0.05144552467303587
0.1,31,smoothed,0.10621062752419955,9.415253664442902,0.051306753057084764
0.1,32,smoothed,0.10657223421392459,9.383307081586372,0.04773959921384785
0.1,33,smoothed,0.10927480950375677,9.151239929323518,0.021826992604209394
0.1,34,smoothed,0.11201700647041259,8.927215888992118,-0.0031875205296191256
0.1,35,smoothed,0.11289202870663612,8.858021345321232,-0.010913779813596647
0.1,36,smoothed,0.11175586558471398,8.948076190613662,-0.0008582602943522089
0.1,37,smoothed,0.11067134629317028,9.035762494033307,0.008932787957892652
0.1,38,smoothed,0.1108667296487804,9.019838531973877,0.0071547191511298625
0.1,39,smoothed,0.10976431850278537,9.110428722560002,0.01727001529908101
0.1,40,smoothed,0.10677213208181727,9.36573973472517,0.045778030142349824
0.1,41,smoothed,0.10731661721963982,9.318221407905055,0.04047213614730838
0.1,42,smoothed,0.1084636355407756,9.219679895609456,0.02946899581514084
0.1,43,smoothed,0.10797233886913281,9.261631362936795,0.03415329455777005
0.1,44,smoothed,0.10843558245342326,9.222065095002682,0.02973532706003934
0.1,45,smoothed,0.10898145170192519,9.175873365452102,0.024577560849734503
0.1,46,smoothed,0.10799866226365097,9.259373950010206,0.03390123194334205
0.1,47,smoothed,0.10493657335816467,9.52956598446231,0.06407086099056314
0.1,48,smoothed,0.10235915043673956,9.7695222726377,0.09086436812144338
0.1,49,smoothed,0.10372243703429457,9.64111554445411,0.0765264792775997
0.1,50,smoothed,0.10607443075436065,9.427342601684343,0.05265660318456522
0.1,51,smoothed,0.10742027653835728,9.309229432517084,0.0394680926254225
0.1,52,smoothed,0.10866488655862235,9.202604738933047,0.027562384675049012
0.1,53,smoothed,0.10905809415101678,9.169424862819104,0.023857521368400247
0.1,54,smoothed,0.10992898276236206,9.096782075767413,0.015746231401063016
0.1,55,smoothed,0.11146896909129872,8.97110656133322,0.0017133097478143622
0.1,56,smoothed,0.11180084532046827,8.944476199026752,-0.0012602351748124407
0.1,57,smoothed,0.1107506677989274,9.029290927758044,0.008210173191417036
0.1,58,smoothed,0.10737764614622741,9.31292532375123,0.03988077565569448
0.1,59,smoothed,0.10495924019604416,9.52750799388589,0.06384106586577643
