field,angle,mode,sigma,rho,delta_rho_over_rho0
0.5,0,smoothed,0.14681022856060943,6.811514495988663,0.0
0.5,1,smoothed,0.14665858116733427,6.81855771438987,0.001034016503283386
0.5,2,smoothed,0.14632017635408678,6.83432746540747,0.0033491772545211074
0.5,3,smoothed,0.14435301256266297,6.9274619368674735,0.01702227029643577
0.5,4,smoothed,0.14342536576967602,6.972267385435017,0.023600168441397562
0.5,5,smoothed,0.1443099934651227,6.929527027119458,0.017325446668327915
0.5,6,smoothed,0.14533119493370297,6.880835187904283,0.010176986624111706
0.5,7,smoothed,0.14589481956438521,6.854252967897105,0.00627444482920958
0.5,8,smoothed,0.1452808340216303,6.8832203967876024,0.010527159685436605
0.5,9,smoothed,0.14347688485956095,6.969763812329958,0.023232618301625596
0.5,10,smoothed,0.1390458121271289,7.191874280152392,0.05584070684834108
0.5,11,smoothed,0.13602942018565903,7.351350896263142,0.07925350530963282
0.5,12,smoothed,0.13816728611470963,7.237603257038552,0.06255418839684102
0.5,13,smoothed,0.14084059749169955,7.100225487604418,0.04238572666706908
0.5,14,smoothed,0.14003831956854262,7.140902597810336,0.04835754251358515
0.5,15,smoothed,0.13794697194875313,7.249162383727399,0.06425118642799177
0.5,16,smoothed,0.13716035511932603,7.290736445892294,0.07035468399661293
0.5,17,smoothed,0.1385904821600725,7.215502712841395,0.05930960245194261
0.5,18,smoothed,0.1404489270937733,7.12002591043171,0.045292631267940475
0.5,19,smoothed,0.14166020151700315,7.059145683058853,0.036354791172509504
0.5,20,smoothed,0.14198401682534795,7.043046269285947,0.03399123255681746
0.5,21,smoothed,0.14460603377054188,6.9153407636280315,0.015242758082730568
0.5,22,smoothed,0.1451418898729235,6.889809695020045,0.011494536064995398
0.5,23,smoothed,0.14346919762017232,6.970137260037176,0.02328744424487783
0.5,24,smoothed,0.14188255073907538,7.048083043270193,0.034730682496652676
0.5,25,smoothed,0.13900821633115537,7.193819375523301,0.05612626674431631
0.5,26,smoothed,0.13747174310427074,7.274222159542354,0.06793021784306297
0.5,27,smoothed,0.13900020260231652,7.194234118212245,0.05618715521327422
0.5,28,smoothed,0.13828618604149104,7.2313802891343215,0.06164059305649561
0.5,29,smoothed,0.13559331144035996,7.374995044942501,0.08272470818137045
0.5,30,smoothed,0.1353869905159817,7.38623405534637,0.08437470986755757
0.5,31,smoothed,0.13669685512642962,7.315457250827823,0.07398395101940025
0.5,32,smoothed,0.13591219960702647,7.357691236632016,0.08018433212833931
0.5,33,smoothed,0.13607732785357163,7.348762764331082,0.07887354106914213
0.5,34,smoothed,0.137116995217591,7.2930419632745,0.07069315753044503
0.5,35,smoothed,0.13666150435970503,7.317349568814291,0.07426176265550288
0.5,36,smoothed,0.13548838498425578,7.380706472486209,0.08356320416446983
0.5,37,smoothed,0.13400876892064334,7.462198243102846,0.09552702963450699
0.5,38,smoothed,0.1360431075991048,7.350611270560099,0.07914492069111989
0.5,39,smoothed,0.13931109261358077,7.17817929096132,0.05383014235506467
0.5,40,smoothed,0.14063773098887644,7.110467390000012,0.04388934269866174
0.5,41,smoothed,0.1389221263497938,7.198277382265854,0.056780747733115255
0.5,42,smoothed,0.13611459499172704,7.346750729124818,0.07857815372063848
0.5,43,smoothed,0.13590923654275708,7.357851647451494,0.08020788207741059
0.5,44,smoothed,0.13612723148974998,7.346068740664115,0.07847803083884686
0.5,45,smoothed,0.13670226619901332,7.315167683790875,0.07394143961652233
0.5,46,smoothed,0.13938202408771733,7.174526317473118,0.05329384848233598
0.5,47,smoothed,0.1425061762848742,7.0172397159893585,0.03020256656898379
0.5,48,smoothed,0.14383585057257095,6.95236963538141,0.020678975208185513
0.5,49,smoothed,0.14162132488916285,7.0610834970131116,0.03663928208204226
0.5,50,smoothed,0.13742488481426013,7.27670247896932,0.06829435410503915
0.5,51,smoothed,0.13504494511943094,7.404942103650165,0.0871212427149608
0.5,52,smoothed,0.13559100556913395,7.375120464683985,0.08274312108228399
0.5,53,smoothed,0.13661757867976615,7.319702264259978,0.0746071624116178
0.5,54,smoothed,0.13610856410275568,7.347076259250271,0.07862594487275976
0.5,55,smoothed,0.13644714622949813,7.328845106940117,0.07594942523518267
0.5,56,smoothed,0.13801721093706185,7.245473178385098,0.0637095733484816
0.5,57,smoothed,0.14013348224490432,7.136053311316061,0.047645617655004635
0.5,58,smoothed,0.13930055073432843,7.178722515657404,0.05390989329685669
0.5,59,smoothed,0.13619956176891312,7.342167529853573,0.07790529318808836
