field,angle,mode,ik,kx,ky,energy,vx_archived,surface_weight,inverse_tau,tau,sigma_term
0.1,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,1.2126167373734784,0.8246628709463427,2.1798959483809817e-05
0.1,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,1.2673201620622858,0.7890665910125814,0.0011481918734559237
0.1,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,1.280796331384943,0.780764260090194,6.697587284372263e-05
0.1,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,1.2976558148030186,0.7706203668125957,0.0058312010444470245
0.1,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,1.3633177468672717,0.7335047183958919,0.00953031435180085
0.1,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,1.1873360074183836,0.8422215731284803,4.674828353111371e-06
0.1,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.0045025599461086,0.9955176222285086,0.008030953199839699
0.1,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,1.1333775715714114,0.8823185009859642,0.0020516965128640984
0.1,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,0.995665395480005,1.004353475112897,0.01422971063164876
0.1,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,1.1132384550788157,0.8982801442384609,2.3109312861795056e-07
0.1,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,1.1615263001440095,0.8609361663838494,0.029560651762212585
0.1,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,1.1874962826900723,0.8421078992640455,0.0001077050630820281
0.1,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,1.1214237372151186,0.8917235892325095,0.033080575505132284
0.1,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,1.0633936440311618,0.9403855341932963,0.010375227977950737
0.1,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,1.011568152385719,0.988564139392451,3.5199514197711346e-05
0.1,1,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,1.2352518440538873,0.8095515135748912,2.139950914029232e-05
0.1,1,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,1.2667107767946029,0.7894461927058745,0.0011487442420194311
0.1,1,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,1.3240888842340344,0.7552363077033798,6.478602248758266e-05
0.1,1,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,1.3016157753702047,0.7682758759708338,0.005813460535586968
0.1,1,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,1.4225195464626659,0.7029780381483461,0.009133685875419328
0.1,1,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,1.1026176929307887,0.9069326625278178,5.034013210323048e-06
0.1,1,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,0.9396769434206294,1.0641955269858825,0.008584985621420396
0.1,1,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,1.11485163662091,0.8969803399409964,0.002085790373326731
0.1,1,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.0101931785694058,0.9899096739260891,0.0140250704164235
0.1,1,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,1.1714458064817823,0.8536459770198951,2.1961046431555784e-07
