field,angle,mode,sigma,rho,delta_rho_over_rho0
2.0,0,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,1,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,2,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,3,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,4,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,5,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,6,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,7,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,8,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,9,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,10,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,11,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,12,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,13,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,14,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,15,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,16,smoothed,0.25487463761086293,3.9234974863476935,0.0
2.0,17,smoothed,0.254873237636048,3.9235190374439095,5.492827838127212e-06
2.0,18,smoothed,0.25482780953153694,3.9242184824268254,0.0001837636143875443
2.0,19,smoothed,0.25427535593910633,3.9327444702878687,0.002356821680745691
2.0,20,smoothed,0.25149949124952753,3.9761511843689608,0.013420092202042211
2.0,21,smoothed,0.24203922260064825,4.13156177439037,0.053030310014639426
2.0,22,smoothed,0.221355746115447,4.517614823870237,0.15142544109938894
2.0,23,smoothed,0.2028985357267503,4.928571792882384,0.25616794965001843
2.0,24,smoothed,0.19612567169228157,5.098771575242766,0.2995475575005686
2.0,25,smoothed,0.19630647102110246,5.094075578855994,0.2983506671232683
2.0,26,smoothed,0.19827772491350815,5.043430876747329,0.28544261702641216
2.0,27,smoothed,0.19931310731272384,5.017231498132193,0.27876505989624967
2.0,28,smoothed,0.19806872102538386,5.048752750172215,0.28679902758699094
2.0,29,smoothed,0.19708505201205503,5.073951523928021,0.2932215559162401
2.0,30,smoothed,0.19791139103729602,5.052766264532758,0.2878219706051801
2.0,31,smoothed,0.19865231672009648,5.033920653485316,0.28301870231890813
2.0,32,smoothed,0.1984657427426538,5.038652949273358,0.2842248444929527
2.0,33,smoothed,0.1976993603900106,5.05818530736394,0.28920314718297546
2.0,34,smoothed,0.1976067016837172,5.06055711410318,0.2898076605661224
2.0,35,smoothed,0.19949413917920175,5.012678588525947,0.2776046387102826
2.0,36,smoothed,0.20405251611617162,4.900699187804564,0.24906392953153866
2.0,37,smoothed,0.20912657729627837,4.781792983601783,0.21875775382567153
2.0,38,smoothed,0.22019371290625495,4.541455733687269,0.15750188434931833
2.0,39,smoothed,0.23937078136051818,4.177619316427314,0.06476920935055253
2.0,40,smoothed,0.2512490569598498,3.980114441423764,0.01443022590764409
2.0,41,smoothed,0.25427003793600667,3.932826722791754,0.002377785757865958
2.0,42,smoothed,0.25462534291131617,3.927338844461729,0.0009790647572485156
2.0,43,smoothed,0.25463891225636703,3.9271295621668907,0.0009257240081930185
2.0,44,smoothed,0.2546110864159385,3.9275587488220256,0.0010351128013879052
2.0,45,smoothed,0.25456457545227035,3.928276344905245,0.00121800984304965
2.0,46,smoothed,0.2545364237276944,3.9287108122089824,0.0013287445396432673
2.0,47,smoothed,0.2545301482588239,3.9288076750072474,0.0013534324102491002
2.0,48,smoothed,0.25452963323461997,3.928815624694754,0.0013554585839714584
2.0,49,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,50,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,51,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,52,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,53,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,54,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,55,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,56,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,57,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,58,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,59,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
