field,angle,mode,sigma,rho,delta_rho_over_rho0
0.5,0,raw,0.14779474311035434,6.766140519986743,0.0
0.5,1,raw,0.14407812915007776,6.940678685231667,0.025795823295326148
0.5,2,raw,0.15115223959153334,6.6158463989839165,-0.02221268100460916
0.5,3,raw,0.14219621222749299,7.032536129725786,0.039371870707108236
0.5,4,raw,0.14194963468540808,7.044752191269968,0.04117734038485077
0.5,5,raw,0.14624173765085138,6.8379931479443705,0.010619440690801563
0.5,6,raw,0.1433127948096127,6.977744041126781,0.03127388804813824
0.5,7,raw,0.1503182357264707,6.652552800178337,-0.016787667869574197
0.5,8,raw,0.14191188981336114,7.046625912142909,0.04145426647992756
0.5,9,raw,0.14911099885793713,6.706413394445384,-0.00882735517610489
0.5,10,raw,0.13892319262478856,7.198222133440709,0.06385939106313643
0.5,11,raw,0.1302332352443896,7.678531506365843,0.13484659144810185
0.5,12,raw,0.13885705715043756,7.201650535605125,0.0643660908803052
0.5,13,raw,0.14587977588732323,6.8549598045200915,0.013127023340851807
0.5,14,raw,0.13846683617484645,7.221945901452305,0.06736563926201988
0.5,15,raw,0.1400571012848688,7.139944999761578,0.05524633706182147
0.5,16,raw,0.13247313209955613,7.548700511198607,0.11565825286959863
0.5,17,raw,0.14325001200357224,6.980802207367794,0.0317258689421176
0.5,18,raw,0.13529610330474384,7.391195870198705,0.09237989491432952
0.5,19,raw,0.1512550831455601,6.611348056565157,-0.022877512366812236
0.5,20,raw,0.13195512804251452,7.578333747497943,0.12003788941598748
0.5,21,raw,0.15385489969646396,6.499630508829242,-0.0393887786353605
0.5,22,raw,0.14464387458534572,6.913531615954879,0.02178362916536436
0.5,23,raw,0.14215023249996156,7.034810864627115,0.03970806456749432
0.5,24,raw,0.14431824181464278,6.929130977665072,0.024089132822007864
0.5,25,raw,0.140098565340692,7.137831836951348,0.0549340227071331
0.5,26,raw,0.13111934797824248,7.626639511400993,0.12717722738278803
0.5,27,raw,0.14505480778906282,6.893945917698843,0.01888896592297651
0.5,28,raw,0.13909572159448894,7.1892937362612646,0.06253982089561316
0.5,29,raw,0.13438954244545306,7.441055172919327,0.09974883775158538
0.5,30,raw,0.13129953244303277,7.616173351065605,0.12563038390466774
0.5,31,raw,0.14388233891468125,6.950123326761986,0.027191691664069095
0.5,32,raw,0.132431346789253,7.551082309774951,0.11601027017832988
0.5,33,raw,0.13431939132708065,7.444941419998723,0.10032320464034794
0.5,34,raw,0.14256906711642114,7.014144233569301,0.03665364513934799
0.5,35,raw,0.13157132650426323,7.600440206609892,0.1233051078615175
0.5,36,raw,0.14365510253763364,6.961117164202558,0.028816523044395304
0.5,37,raw,0.12574234695325773,7.952770281691422,0.17537764079824414
0.5,38,raw,0.13923674102752848,7.18201239572456,0.061463677041492026
0.5,39,raw,0.13955004759772446,7.165887917735875,0.05908056395936567
0.5,40,raw,0.14198014400648043,7.04323838377257,0.040953607594654384
0.5,41,raw,0.14337292184489597,6.974817748931854,0.030841397444923313
0.5,42,raw,0.13006976842728646,7.688181597394285,0.13627282417264208
0.5,43,raw,0.13911241700909616,7.188430921551833,0.062412301417281046
0.5,44,raw,0.136001019749443,7.352886043371711,0.0867179038998318
0.5,45,raw,0.1341657926250831,7.453464705377099,0.1015829014133014
0.5,46,raw,0.14029061978402918,7.128060318925478,0.053489843710701424
0.5,47,raw,0.14301615081195582,6.992217272822884,0.03341295560864066
0.5,48,raw,0.14670292796502302,6.816496533991608,0.007442354153910591
0.5,49,raw,0.14417242273003295,6.936139249546559,0.025124918564379595
0.5,50,raw,0.13515692338789528,7.398807067619005,0.09350478988182509
0.5,51,raw,0.13404853987239063,7.459984278470798,0.10254646004387369
0.5,52,raw,0.13347250793823165,7.492179591491452,0.10730475806111883
0.5,53,raw,0.14238801537320586,7.023062983067442,0.03797178943029156
0.5,54,raw,0.13150398627546905,7.604332220813761,0.12388032710096031
0.5,55,raw,0.13936829941593484,7.175232848436865,0.06046169559170256
0.5,56,raw,0.13419142613458174,7.452040929925667,0.10137247488621015
0.5,57,raw,0.14434785177080825,6.927709610724058,0.023879062260095063
0.5,58,raw,0.1424127153667872,7.0218449063658195,0.0377917640970864
0.5,59,raw,0.13300006558796812,7.518793284643802,0.11123812200378813
