field,angle,mode,sigma,rho,delta_rho_over_rho0
2.0,0,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,1,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,2,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,3,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,4,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,5,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,6,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,7,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,8,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,9,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,10,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,11,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,12,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,13,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,14,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,15,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,16,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,17,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,18,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,19,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,20,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,21,raw,0.24515551423651466,4.079043472117239,0.039644726754837434
2.0,22,raw,0.2533507950364761,3.947096356480844,0.006014753473212675
2.0,23,raw,0.19803784139295627,5.049539991782437,0.2869996755071085
2.0,24,raw,0.19361008617499723,5.165020168918967,0.31643264380601965
2.0,25,raw,0.19611366525659538,5.099083731322846,0.2996271181683572
2.0,26,raw,0.19811732527418843,5.047514136464492,0.2864833363670951
2.0,27,raw,0.20236863813554362,4.94147714395456,0.2594571963277805
2.0,28,raw,0.19790149981597702,5.053018804455103,0.2878863366263702
2.0,29,raw,0.19423547829722926,5.148390030320557,0.3121940432573316
2.0,30,raw,0.20004684164700987,4.99882923302802,0.27407478924660444
2.0,31,raw,0.19790149981597702,5.053018804455103,0.2878863366263702
2.0,32,raw,0.20026900925685756,4.9932838021754895,0.27266139956766966
2.0,33,raw,0.19611366525659538,5.099083731322846,0.2996271181683572
2.0,34,raw,0.19811732527418843,5.047514136464492,0.2864833363670951
2.0,35,raw,0.19590334627146397,5.10455803350238,0.30102237895253836
2.0,36,raw,0.20644748886934242,4.843846759661414,0.23457368751125562
2.0,37,raw,0.21686395308669693,4.611185887588356,0.17527433205540754
2.0,38,raw,0.2215861555398968,4.512917323573264,0.15022816741352107
2.0,39,raw,0.2517462046987137,3.972254521957087,0.012426931781924111
2.0,40,raw,0.2546462031860693,3.9270171221414314,0.0008970658974511991
2.0,41,raw,0.2546462031860693,3.9270171221414314,0.0008970658974511991
2.0,42,raw,0.2546462031860693,3.9270171221414314,0.0008970658974511991
2.0,43,raw,0.2546462031860693,3.9270171221414314,0.0008970658974511991
2.0,44,raw,0.2546462031860693,3.9270171221414314,0.0008970658974511991
2.0,45,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,46,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,47,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,48,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,49,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,50,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,51,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,52,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,53,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,54,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,55,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,56,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,57,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,58,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
2.0,59,raw,0.254529617682467,3.9288158647514595,0.0013555197683372544
