field,temperature,angle,mode,ik,kx,ky,energy,vx_archived,surface_weight,inverse_tau,tau,sigma_term,inverse_tau_error
0.0,0.5,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.1267281842450534,0.4702058342048917,1.2429319046607537e-05,0.2584033808944045
0.0,0.5,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.2307368808863646,0.4482823629125898,0.0006523076404100955,0.2657858706368041
0.0,0.5,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.432327203454169,0.41112889687698734,3.526764495653545e-05,0.27322722340303846
0.0,0.5,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.071331453609486,0.4827812556302411,0.003653153593272632,0.22916864725198036
0.0,0.5,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.2626574431496618,0.44195819523081725,0.005742295073596148,0.2857127183006262
0.0,0.5,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,2.2820274056574092,0.4382068320130094,2.4323073502048903e-06,0.13729681292129262
0.0,0.5,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.702950064423131,0.5872162789099438,0.004737140105619643,0.10935473520434252
0.0,0.5,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,2.207720117422875,0.4529559667043865,0.0010532797128586565,0.1792947003414121
0.0,0.5,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.8839761690637327,0.5307922766862616,0.007520281145948672,0.18896362449247284
0.0,0.5,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.421765045294991,0.4129219727334002,1.0622903240831967e-07,0.26658039795081384
0.0,0.5,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,2.4260850227192106,0.4121867084770086,0.014152626206283696,0.27196971699408246
0.0,0.5,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.433831100682268,0.4108748547586861,5.255063180060215e-05,0.28162951326840185
0.0,0.5,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.338290645837865,0.42766283215475814,0.015865154606945576,0.23546643842713877
0.0,0.5,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.2459791383230487,0.44524011062126156,0.004912312540607481,0.2145422433574213
0.0,0.5,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.2078300468279974,0.4529334137094048,1.612746759788423e-05,0.2005001908023068
0.0,4.0,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.4489320238442995,0.40834126478946275,1.079400443541047e-05,0.3705496772132585
0.0,4.0,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.1769179436583053,0.4593650407968536,0.0006684343410305231,0.34245966461619903
0.0,4.0,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.078736051135337,0.48106155634999115,4.1266639977063396e-05,0.3308500963484307
0.0,4.0,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.6854133393750224,0.3723821526233762,0.0028177755102583813,0.592308485818669
0.0,4.0,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.430531768953409,0.4114325979086468,0.0053456806674980015,0.5299731563410653
0.0,4.0,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,2.368916852564562,0.4221338536713146,2.3430928046885673e-06,0.46985935646339516
0.0,4.0,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,2.178193248784065,0.4590960882640835,0.003703580043942236,0.5630807917394365
0.0,4.0,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,2.134016097443241,0.4686000265874739,0.001089657577624385,0.40305567125415787
0.0,4.0,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.9646266544034117,0.5090025617634029,0.007211563801127869,0.4590265737675608
